#                                                              -*- mode:sh -*-
# depth  rho(g/cm^3)  vp(km/s)  vs(km/s)       Qp      Qs
# -----------------------------------------------------------------------------
     0.0          2.26      2.30428611793    1.33038021048      600     300
     1.2375       2.26      2.30428611793    1.33038021048      600     300
     1.3875       2.26      2.30428611793    1.33038021048      600     300
     1.4075       2.26      2.30428611793    1.33038021048      600     300
     1.6375       2.26      2.30428611793    1.33038021048      600     300
     4.0          2.26      2.30428611793    1.33038021048      600     300
